joint_entropy_,total_corr_,est_total_corr_lower,est_total_corr_upper
2.68133,261.74999,253.08783,272.61645
2.69066,262.96575,254.23692,266.949
2.69922,263.23812,253.86341,266.03613
2.70837,264.23944,255.37955,275.41982
2.71735,265.02645,256.02688,275.03162
2.72614,265.58166,256.43007,282.46207
2.73543,266.74278,258.02083,272.20576
2.7443,267.3988,258.33532,270.23811
2.7531,267.95808,258.83629,264.29395
2.76184,268.45984,259.30687,263.71772
2.77037,268.68363,259.34639,260.68344
2.7792,269.2917,260.22984,265.14631
2.78814,270.02499,261.05894,268.96598
2.79775,271.5932,263.21595,278.9435
2.80702,272.73754,264.07552,276.73607
2.81629,273.88187,265.22912,281.11764
2.82496,274.29232,265.13913,279.68173
2.83369,274.76563,265.66478,274.57268
2.84222,275.00286,265.74676,271.763
2.85094,275.47135,266.38441,277.38539
2.86009,276.46959,267.75929,280.56448
2.86882,276.94328,267.87783,283.07266
2.87774,277.65862,268.76972,290.33011
2.88622,277.83693,268.58397,276.80195
2.89497,278.33766,269.31711,283.52903
2.90356,278.63866,269.48815,280.55647
2.9124,279.25765,270.33657,292.18053
2.92146,280.14653,271.42173,292.12345
2.93039,280.86949,272.03852,288.00487
2.93929,281.56419,272.72252,299.01621
2.94814,282.18285,273.29728,297.77211
2.95694,282.75571,273.84717,295.26375
2.96578,283.36672,274.49349,298.90967
2.97466,284.02768,275.19798,303.65205
2.98344,284.58076,275.685,302.97848
2.99232,285.24398,276.4335,307.37873
3.00077,285.37088,276.19681,281.96482
3.00948,285.82792,276.89158,299.81864
3.0187,286.91207,278.41997,299.75396
3.02775,287.7861,279.1573,303.33272
3.03636,288.11906,279.12351,283.94062
3.04516,288.68639,279.86223,306.19986
3.05395,289.24051,280.41598,303.56071
3.063,290.11607,281.52358,289.23385
3.07208,291.01787,282.45266,297.37801
3.08154,292.39708,284.17251,299.03687
3.09067,293.37635,284.88347,289.88739
3.09948,293.9512,285.18659,292.6832
3.10833,294.57694,285.85647,288.94006
3.11779,295.95668,287.76873,300.38313
